Ano Censo,Categoria Administrativa,Sub Categoria Administrativa,Id Categoria Administrativa,Número de Vínculos de Alunos,Região,UF,Nome Região
2013,PRIVADA,PRIVADA,4,171239,CENTRO-OESTE,DISTRITO FEDERAL,CENTRO-OESTE
2013,PRIVADA,PRIVADA,4,175608,CENTRO-OESTE,GOIÁS,CENTRO-OESTE
2013,PRIVADA,PRIVADA,4,107880,CENTRO-OESTE,MATO GROSSO,CENTRO-OESTE
2013,PRIVADA,PRIVADA,4,78479,CENTRO-OESTE,MATO GROSSO DO SUL,CENTRO-OESTE
2013,PRIVADA,PRIVADA,4,55759,NORDESTE,ALAGOAS,NORDESTE
2013,PRIVADA,PRIVADA,4,283662,NORDESTE,BAHIA,NORDESTE
2013,PRIVADA,PRIVADA,4,149706,NORDESTE,CEARÁ,NORDESTE
2013,PRIVADA,PRIVADA,4,77463,NORDESTE,MARANHÃO,NORDESTE
2013,PRIVADA,PRIVADA,4,59767,NORDESTE,PARAÍBA,NORDESTE
2013,PRIVADA,PRIVADA,4,156086,NORDESTE,PERNAMBUCO,NORDESTE
2013,PRIVADA,PRIVADA,4,57428,NORDESTE,PIAUÍ,NORDESTE
2013,PRIVADA,PRIVADA,4,69621,NORDESTE,RIO GRANDE DO NORTE,NORDESTE
2013,PRIVADA,PRIVADA,4,51039,NORDESTE,SERGIPE,NORDESTE
2013,PRIVADA,PRIVADA,4,21275,NORTE,ACRE,NORTE
2013,PRIVADA,PRIVADA,4,24126,NORTE,AMAPÁ,NORTE
2013,PRIVADA,PRIVADA,4,95038,NORTE,AMAZONAS,NORTE
2013,PRIVADA,PRIVADA,4,113324,NORTE,PARÁ,NORTE
2013,PRIVADA,PRIVADA,4,55123,NORTE,RONDÔNIA,NORTE
2013,PRIVADA,PRIVADA,4,14359,NORTE,RORAIMA,NORTE
2013,PRIVADA,PRIVADA,4,35127,NORTE,TOCANTINS,NORTE
2013,PRIVADA,PRIVADA,4,107189,SUDESTE,ESPÍRITO SANTO,SUDESTE
2013,PRIVADA,PRIVADA,4,568202,SUDESTE,MINAS GERAIS,SUDESTE
2013,PRIVADA,PRIVADA,4,426245,SUDESTE,RIO DE JANEIRO,SUDESTE
2013,PRIVADA,PRIVADA,4,1592159,SUDESTE,SÃO PAULO,SUDESTE
2013,PRIVADA,PRIVADA,4,306824,SUL,PARANÁ,SUL
2013,PRIVADA,PRIVADA,4,359279,SUL,RIO GRANDE DO SUL,SUL
2013,PRIVADA,PRIVADA,4,161443,SUL,SANTA CATARINA,SUL
